Table_num,Table_name,Category_num,Category_desc,Year,Units,Value_added,Imports,Total
1,Food dollar,1,Total,1996,Cents per Domestic Real Food Dollar,,5,100
1,Food dollar,2,Agribusiness,1996,Cents per Domestic Real Food Dollar,,0.4,3.3
1,Food dollar,3,Farm production,1996,Cents per Domestic Real Food Dollar,,0.7,7.8
1,Food dollar,4,Food processing,1996,Cents per Domestic Real Food Dollar,,0.8,18
1,Food dollar,5,Packaging,1996,Cents per Domestic Real Food Dollar,,0.8,4.1
1,Food dollar,6,Transportation,1996,Cents per Domestic Real Food Dollar,,0.2,4
1,Food dollar,7,Wholesale trade,1996,Cents per Domestic Real Food Dollar,,-0.1,8.4
1,Food dollar,8,Retail trade,1996,Cents per Domestic Real Food Dollar,,0.2,11.1
1,Food dollar,9,Foodservices,1996,Cents per Domestic Real Food Dollar,,0.7,30.1
1,Food dollar,10,Energy,1996,Cents per Domestic Real Food Dollar,,1.4,5.2
1,Food dollar,11,Finance and insurance,1996,Cents per Domestic Real Food Dollar,,0.1,3.4
1,Food dollar,12,Advertising,1996,Cents per Domestic Real Food Dollar,,0.1,3
1,Food dollar,13,Legal and accounting,1996,Cents per Domestic Real Food Dollar,,0,1.6
1,Food dollar,14,Total food dollar,1996,Cents per Domestic Real Food Dollar,,,107.5
1,Food dollar,15,Domestic food dollar,1996,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1996,Cents per Domestic Real Food Dollar,,,16.4
1,Food dollar,1,Total,1997,Cents per Domestic Real Food Dollar,94.3,5.6,100
1,Food dollar,2,Agribusiness,1997,Cents per Domestic Real Food Dollar,3,0.4,3.5
1,Food dollar,3,Farm production,1997,Cents per Domestic Real Food Dollar,7.3,0.8,8.2
1,Food dollar,4,Food processing,1997,Cents per Domestic Real Food Dollar,17.4,0.9,18.2
1,Food dollar,5,Packaging,1997,Cents per Domestic Real Food Dollar,3.3,0.9,4.2
1,Food dollar,6,Transportation,1997,Cents per Domestic Real Food Dollar,3.5,0.1,3.7
1,Food dollar,7,Wholesale trade,1997,Cents per Domestic Real Food Dollar,8.9,-0.1,8.8
1,Food dollar,8,Retail trade,1997,Cents per Domestic Real Food Dollar,11.4,0.2,11.6
1,Food dollar,9,Foodservices,1997,Cents per Domestic Real Food Dollar,28.1,0.7,28.8
1,Food dollar,10,Energy,1997,Cents per Domestic Real Food Dollar,4,1.6,5.5
1,Food dollar,11,Finance and insurance,1997,Cents per Domestic Real Food Dollar,3.2,0,3.2
1,Food dollar,12,Advertising,1997,Cents per Domestic Real Food Dollar,2.7,0.1,2.8
1,Food dollar,13,Legal and accounting,1997,Cents per Domestic Real Food Dollar,1.5,0,1.5
1,Food dollar,14,Total food dollar,1997,Cents per Domestic Real Food Dollar,,,108.1
1,Food dollar,15,Domestic food dollar,1997,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1997,Cents per Domestic Real Food Dollar,,,17
1,Food dollar,1,Total,1998,Cents per Domestic Real Food Dollar,94.3,5.5,100
1,Food dollar,2,Agribusiness,1998,Cents per Domestic Real Food Dollar,2.9,0.4,3.3
1,Food dollar,3,Farm production,1998,Cents per Domestic Real Food Dollar,7.2,0.9,8.1
1,Food dollar,4,Food processing,1998,Cents per Domestic Real Food Dollar,17.1,0.9,18.1
1,Food dollar,5,Packaging,1998,Cents per Domestic Real Food Dollar,3.2,0.9,4.1
1,Food dollar,6,Transportation,1998,Cents per Domestic Real Food Dollar,3.7,0.2,3.9
1,Food dollar,7,Wholesale trade,1998,Cents per Domestic Real Food Dollar,9,-0.1,8.9
1,Food dollar,8,Retail trade,1998,Cents per Domestic Real Food Dollar,12,0.2,12.2
1,Food dollar,9,Foodservices,1998,Cents per Domestic Real Food Dollar,27.6,0.7,28.2
1,Food dollar,10,Energy,1998,Cents per Domestic Real Food Dollar,3.9,1.4,5.2
1,Food dollar,11,Finance and insurance,1998,Cents per Domestic Real Food Dollar,3.3,0.1,3.4
1,Food dollar,12,Advertising,1998,Cents per Domestic Real Food Dollar,2.6,0.1,2.7
1,Food dollar,13,Legal and accounting,1998,Cents per Domestic Real Food Dollar,1.5,0,1.6
1,Food dollar,14,Total food dollar,1998,Cents per Domestic Real Food Dollar,,,108.4
1,Food dollar,15,Domestic food dollar,1998,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1998,Cents per Domestic Real Food Dollar,,,17.1
1,Food dollar,1,Total,1999,Cents per Domestic Real Food Dollar,94.2,5.7,100
1,Food dollar,2,Agribusiness,1999,Cents per Domestic Real Food Dollar,2.7,0.4,3.1
1,Food dollar,3,Farm production,1999,Cents per Domestic Real Food Dollar,6.8,0.9,7.6
1,Food dollar,4,Food processing,1999,Cents per Domestic Real Food Dollar,17.7,0.9,18.6
1,Food dollar,5,Packaging,1999,Cents per Domestic Real Food Dollar,3.1,0.9,4
1,Food dollar,6,Transportation,1999,Cents per Domestic Real Food Dollar,3.6,0.2,3.7
1,Food dollar,7,Wholesale trade,1999,Cents per Domestic Real Food Dollar,8.8,-0.1,8.7
1,Food dollar,8,Retail trade,1999,Cents per Domestic Real Food Dollar,11.8,0.2,12
1,Food dollar,9,Foodservices,1999,Cents per Domestic Real Food Dollar,28.1,0.6,28.7
1,Food dollar,10,Energy,1999,Cents per Domestic Real Food Dollar,4.2,1.6,5.8
1,Food dollar,11,Finance and insurance,1999,Cents per Domestic Real Food Dollar,3.3,0.1,3.4
1,Food dollar,12,Advertising,1999,Cents per Domestic Real Food Dollar,2.5,0.1,2.6
1,Food dollar,13,Legal and accounting,1999,Cents per Domestic Real Food Dollar,1.5,0,1.6
1,Food dollar,14,Total food dollar,1999,Cents per Domestic Real Food Dollar,,,109
1,Food dollar,15,Domestic food dollar,1999,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1999,Cents per Domestic Real Food Dollar,,,16.6
1,Food dollar,1,Total,2000,Cents per Domestic Real Food Dollar,94,5.9,100
1,Food dollar,2,Agribusiness,2000,Cents per Domestic Real Food Dollar,2.5,0.4,2.9
1,Food dollar,3,Farm production,2000,Cents per Domestic Real Food Dollar,6.9,0.8,7.6
1,Food dollar,4,Food processing,2000,Cents per Domestic Real Food Dollar,16.7,0.9,17.5
1,Food dollar,5,Packaging,2000,Cents per Domestic Real Food Dollar,3.1,0.9,4.1
1,Food dollar,6,Transportation,2000,Cents per Domestic Real Food Dollar,3.3,0.2,3.5
1,Food dollar,7,Wholesale trade,2000,Cents per Domestic Real Food Dollar,8.8,-0.1,8.8
1,Food dollar,8,Retail trade,2000,Cents per Domestic Real Food Dollar,11.7,0.2,11.9
1,Food dollar,9,Foodservices,2000,Cents per Domestic Real Food Dollar,29.1,0.6,29.7
1,Food dollar,10,Energy,2000,Cents per Domestic Real Food Dollar,4.3,1.8,6.1
1,Food dollar,11,Finance and insurance,2000,Cents per Domestic Real Food Dollar,3.5,0.1,3.6
1,Food dollar,12,Advertising,2000,Cents per Domestic Real Food Dollar,2.5,0.1,2.5
1,Food dollar,13,Legal and accounting,2000,Cents per Domestic Real Food Dollar,1.6,0,1.6
1,Food dollar,14,Total food dollar,2000,Cents per Domestic Real Food Dollar,,,109.4
1,Food dollar,15,Domestic food dollar,2000,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2000,Cents per Domestic Real Food Dollar,,,16.1
1,Food dollar,1,Total,2001,Cents per Domestic Real Food Dollar,94.3,5.6,100
1,Food dollar,2,Agribusiness,2001,Cents per Domestic Real Food Dollar,2.5,0.4,2.9
1,Food dollar,3,Farm production,2001,Cents per Domestic Real Food Dollar,7,0.8,7.7
1,Food dollar,4,Food processing,2001,Cents per Domestic Real Food Dollar,16.5,0.8,17.3
1,Food dollar,5,Packaging,2001,Cents per Domestic Real Food Dollar,3,0.9,4
1,Food dollar,6,Transportation,2001,Cents per Domestic Real Food Dollar,3.3,0.1,3.4
1,Food dollar,7,Wholesale trade,2001,Cents per Domestic Real Food Dollar,9.2,-0.1,9.1
1,Food dollar,8,Retail trade,2001,Cents per Domestic Real Food Dollar,11.9,0.2,12.1
1,Food dollar,9,Foodservices,2001,Cents per Domestic Real Food Dollar,28.6,0.5,29.1
1,Food dollar,10,Energy,2001,Cents per Domestic Real Food Dollar,4.7,1.7,6.4
1,Food dollar,11,Finance and insurance,2001,Cents per Domestic Real Food Dollar,3.6,0.1,3.8
1,Food dollar,12,Advertising,2001,Cents per Domestic Real Food Dollar,2.3,0.1,2.4
1,Food dollar,13,Legal and accounting,2001,Cents per Domestic Real Food Dollar,1.7,0,1.7
1,Food dollar,14,Total food dollar,2001,Cents per Domestic Real Food Dollar,,,109.9
1,Food dollar,15,Domestic food dollar,2001,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2001,Cents per Domestic Real Food Dollar,,,16.3
1,Food dollar,1,Total,2002,Cents per Domestic Real Food Dollar,94.2,5.7,100
1,Food dollar,2,Agribusiness,2002,Cents per Domestic Real Food Dollar,2.3,0.4,2.6
1,Food dollar,3,Farm production,2002,Cents per Domestic Real Food Dollar,7,0.8,7.7
1,Food dollar,4,Food processing,2002,Cents per Domestic Real Food Dollar,16.2,0.8,17
1,Food dollar,5,Packaging,2002,Cents per Domestic Real Food Dollar,3.1,0.9,4
1,Food dollar,6,Transportation,2002,Cents per Domestic Real Food Dollar,3.5,0.1,3.7
1,Food dollar,7,Wholesale trade,2002,Cents per Domestic Real Food Dollar,9.3,-0.1,9.2
1,Food dollar,8,Retail trade,2002,Cents per Domestic Real Food Dollar,12.2,0.2,12.4
1,Food dollar,9,Foodservices,2002,Cents per Domestic Real Food Dollar,28.6,0.5,29.1
1,Food dollar,10,Energy,2002,Cents per Domestic Real Food Dollar,4.2,1.8,6
1,Food dollar,11,Finance and insurance,2002,Cents per Domestic Real Food Dollar,3.6,0.1,3.7
1,Food dollar,12,Advertising,2002,Cents per Domestic Real Food Dollar,2.3,0.1,2.3
1,Food dollar,13,Legal and accounting,2002,Cents per Domestic Real Food Dollar,1.7,0,1.7
1,Food dollar,14,Total food dollar,2002,Cents per Domestic Real Food Dollar,,,110.5
1,Food dollar,15,Domestic food dollar,2002,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2002,Cents per Domestic Real Food Dollar,,,15.9
1,Food dollar,1,Total,2003,Cents per Domestic Real Food Dollar,94.5,5.4,100
1,Food dollar,2,Agribusiness,2003,Cents per Domestic Real Food Dollar,2,0.4,2.3
1,Food dollar,3,Farm production,2003,Cents per Domestic Real Food Dollar,7.9,0.8,8.7
1,Food dollar,4,Food processing,2003,Cents per Domestic Real Food Dollar,15.6,0.9,16.5
1,Food dollar,5,Packaging,2003,Cents per Domestic Real Food Dollar,2.8,0.9,3.7
1,Food dollar,6,Transportation,2003,Cents per Domestic Real Food Dollar,3.5,0.1,3.6
1,Food dollar,7,Wholesale trade,2003,Cents per Domestic Real Food Dollar,10.3,-0.1,10.2
1,Food dollar,8,Retail trade,2003,Cents per Domestic Real Food Dollar,13,0.2,13.2
1,Food dollar,9,Foodservices,2003,Cents per Domestic Real Food Dollar,28.4,0.4,28.8
1,Food dollar,10,Energy,2003,Cents per Domestic Real Food Dollar,3.8,1.6,5.4
1,Food dollar,11,Finance and insurance,2003,Cents per Domestic Real Food Dollar,3.5,0.1,3.6
1,Food dollar,12,Advertising,2003,Cents per Domestic Real Food Dollar,2.2,0.1,2.3
1,Food dollar,13,Legal and accounting,2003,Cents per Domestic Real Food Dollar,1.5,0,1.6
1,Food dollar,14,Total food dollar,2003,Cents per Domestic Real Food Dollar,,,110.9
1,Food dollar,15,Domestic food dollar,2003,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2003,Cents per Domestic Real Food Dollar,,,16.2
1,Food dollar,1,Total,2004,Cents per Domestic Real Food Dollar,94.2,5.8,100
1,Food dollar,2,Agribusiness,2004,Cents per Domestic Real Food Dollar,1.8,0.4,2.2
1,Food dollar,3,Farm production,2004,Cents per Domestic Real Food Dollar,9.2,0.8,9.9
1,Food dollar,4,Food processing,2004,Cents per Domestic Real Food Dollar,14.7,0.9,15.7
1,Food dollar,5,Packaging,2004,Cents per Domestic Real Food Dollar,2.7,1,3.6
1,Food dollar,6,Transportation,2004,Cents per Domestic Real Food Dollar,3.4,0.2,3.5
1,Food dollar,7,Wholesale trade,2004,Cents per Domestic Real Food Dollar,9.5,-0.1,9.4
1,Food dollar,8,Retail trade,2004,Cents per Domestic Real Food Dollar,13.6,0.3,13.8
1,Food dollar,9,Foodservices,2004,Cents per Domestic Real Food Dollar,28.9,0.5,29.4
1,Food dollar,10,Energy,2004,Cents per Domestic Real Food Dollar,3.7,1.7,5.4
1,Food dollar,11,Finance and insurance,2004,Cents per Domestic Real Food Dollar,3.1,0.1,3.2
1,Food dollar,12,Advertising,2004,Cents per Domestic Real Food Dollar,2.3,0.1,2.3
1,Food dollar,13,Legal and accounting,2004,Cents per Domestic Real Food Dollar,1.4,0,1.5
1,Food dollar,14,Total food dollar,2004,Cents per Domestic Real Food Dollar,,,111.1
1,Food dollar,15,Domestic food dollar,2004,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2004,Cents per Domestic Real Food Dollar,,,16.8
1,Food dollar,1,Total,2005,Cents per Domestic Real Food Dollar,94,6,100
1,Food dollar,2,Agribusiness,2005,Cents per Domestic Real Food Dollar,1.8,0.4,2.2
1,Food dollar,3,Farm production,2005,Cents per Domestic Real Food Dollar,7.9,0.8,8.7
1,Food dollar,4,Food processing,2005,Cents per Domestic Real Food Dollar,14.8,1,15.8
1,Food dollar,5,Packaging,2005,Cents per Domestic Real Food Dollar,2.6,1,3.6
1,Food dollar,6,Transportation,2005,Cents per Domestic Real Food Dollar,3.4,0.2,3.6
1,Food dollar,7,Wholesale trade,2005,Cents per Domestic Real Food Dollar,9.3,-0.1,9.2
1,Food dollar,8,Retail trade,2005,Cents per Domestic Real Food Dollar,13.4,0.3,13.7
1,Food dollar,9,Foodservices,2005,Cents per Domestic Real Food Dollar,30.1,0.5,30.6
1,Food dollar,10,Energy,2005,Cents per Domestic Real Food Dollar,3.7,1.8,5.5
1,Food dollar,11,Finance and insurance,2005,Cents per Domestic Real Food Dollar,3.2,0.1,3.3
1,Food dollar,12,Advertising,2005,Cents per Domestic Real Food Dollar,2.4,0.1,2.5
1,Food dollar,13,Legal and accounting,2005,Cents per Domestic Real Food Dollar,1.4,0,1.5
1,Food dollar,14,Total food dollar,2005,Cents per Domestic Real Food Dollar,,,111.6
1,Food dollar,15,Domestic food dollar,2005,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2005,Cents per Domestic Real Food Dollar,,,15.8
1,Food dollar,1,Total,2006,Cents per Domestic Real Food Dollar,94,6,100
1,Food dollar,2,Agribusiness,2006,Cents per Domestic Real Food Dollar,1.6,0.4,2.1
1,Food dollar,3,Farm production,2006,Cents per Domestic Real Food Dollar,7.5,0.9,8.3
1,Food dollar,4,Food processing,2006,Cents per Domestic Real Food Dollar,14.9,0.9,15.8
1,Food dollar,5,Packaging,2006,Cents per Domestic Real Food Dollar,2.5,0.9,3.4
1,Food dollar,6,Transportation,2006,Cents per Domestic Real Food Dollar,3.5,0.2,3.6
1,Food dollar,7,Wholesale trade,2006,Cents per Domestic Real Food Dollar,9.5,-0.1,9.4
1,Food dollar,8,Retail trade,2006,Cents per Domestic Real Food Dollar,13.9,0.3,14.2
1,Food dollar,9,Foodservices,2006,Cents per Domestic Real Food Dollar,30,0.5,30.5
1,Food dollar,10,Energy,2006,Cents per Domestic Real Food Dollar,3.5,1.8,5.3
1,Food dollar,11,Finance and insurance,2006,Cents per Domestic Real Food Dollar,3.3,0.1,3.5
1,Food dollar,12,Advertising,2006,Cents per Domestic Real Food Dollar,2.3,0.1,2.5
1,Food dollar,13,Legal and accounting,2006,Cents per Domestic Real Food Dollar,1.4,0,1.4
1,Food dollar,14,Total food dollar,2006,Cents per Domestic Real Food Dollar,,,112.1
1,Food dollar,15,Domestic food dollar,2006,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2006,Cents per Domestic Real Food Dollar,,,15.4
1,Food dollar,1,Total,2007,Cents per Domestic Real Food Dollar,92.4,7.6,100
1,Food dollar,2,Agribusiness,2007,Cents per Domestic Real Food Dollar,1.6,0.7,2.3
1,Food dollar,3,Farm production,2007,Cents per Domestic Real Food Dollar,8.8,1.1,9.9
1,Food dollar,4,Food processing,2007,Cents per Domestic Real Food Dollar,14.2,1.2,15.4
1,Food dollar,5,Packaging,2007,Cents per Domestic Real Food Dollar,2.5,1.1,3.6
1,Food dollar,6,Transportation,2007,Cents per Domestic Real Food Dollar,3.4,0.3,3.6
1,Food dollar,7,Wholesale trade,2007,Cents per Domestic Real Food Dollar,10.2,-0.1,10.1
1,Food dollar,8,Retail trade,2007,Cents per Domestic Real Food Dollar,13.3,0.4,13.7
1,Food dollar,9,Foodservices,2007,Cents per Domestic Real Food Dollar,28.2,0.6,28.8
1,Food dollar,10,Energy,2007,Cents per Domestic Real Food Dollar,3.5,2.1,5.6
1,Food dollar,11,Finance and insurance,2007,Cents per Domestic Real Food Dollar,2.8,0.2,3
1,Food dollar,12,Advertising,2007,Cents per Domestic Real Food Dollar,2.1,0.1,2.2
1,Food dollar,13,Legal and accounting,2007,Cents per Domestic Real Food Dollar,1.5,0,1.5
1,Food dollar,14,Total food dollar,2007,Cents per Domestic Real Food Dollar,,,113.5
1,Food dollar,15,Domestic food dollar,2007,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2007,Cents per Domestic Real Food Dollar,,,18.3
1,Food dollar,1,Total,2008,Cents per Domestic Real Food Dollar,93.5,6.5,100
1,Food dollar,2,Agribusiness,2008,Cents per Domestic Real Food Dollar,2,0.5,2.5
1,Food dollar,3,Farm production,2008,Cents per Domestic Real Food Dollar,8.5,0.9,9.4
1,Food dollar,4,Food processing,2008,Cents per Domestic Real Food Dollar,13.7,1.3,15
1,Food dollar,5,Packaging,2008,Cents per Domestic Real Food Dollar,2.3,1.1,3.4
1,Food dollar,6,Transportation,2008,Cents per Domestic Real Food Dollar,3.6,0,3.6
1,Food dollar,7,Wholesale trade,2008,Cents per Domestic Real Food Dollar,10.5,-0.1,10.4
1,Food dollar,8,Retail trade,2008,Cents per Domestic Real Food Dollar,13.9,0.2,14.1
1,Food dollar,9,Foodservices,2008,Cents per Domestic Real Food Dollar,28.6,0.5,29
1,Food dollar,10,Energy,2008,Cents per Domestic Real Food Dollar,4.1,1.8,5.8
1,Food dollar,11,Finance and insurance,2008,Cents per Domestic Real Food Dollar,2.5,0.2,2.7
1,Food dollar,12,Advertising,2008,Cents per Domestic Real Food Dollar,2.1,0.1,2.2
1,Food dollar,13,Legal and accounting,2008,Cents per Domestic Real Food Dollar,1.6,0,1.6
1,Food dollar,14,Total food dollar,2008,Cents per Domestic Real Food Dollar,,,113.3
1,Food dollar,15,Domestic food dollar,2008,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2008,Cents per Domestic Real Food Dollar,,,18.2
1,Food dollar,1,Total,2009,Cents per Domestic Real Food Dollar,94.1,5.8,100
1,Food dollar,2,Agribusiness,2009,Cents per Domestic Real Food Dollar,2.3,0.6,2.9
1,Food dollar,3,Farm production,2009,Cents per Domestic Real Food Dollar,8.3,1,9.3
1,Food dollar,4,Food processing,2009,Cents per Domestic Real Food Dollar,15.9,1.1,17.1
1,Food dollar,5,Packaging,2009,Cents per Domestic Real Food Dollar,2.2,0.8,3
1,Food dollar,6,Transportation,2009,Cents per Domestic Real Food Dollar,3.6,0.1,3.7
1,Food dollar,7,Wholesale trade,2009,Cents per Domestic Real Food Dollar,9.9,-0.1,9.8
1,Food dollar,8,Retail trade,2009,Cents per Domestic Real Food Dollar,13.8,0.2,14
1,Food dollar,9,Foodservices,2009,Cents per Domestic Real Food Dollar,27.6,0.4,28
1,Food dollar,10,Energy,2009,Cents per Domestic Real Food Dollar,3.8,1.5,5.3
1,Food dollar,11,Finance and insurance,2009,Cents per Domestic Real Food Dollar,2.7,0.2,2.9
1,Food dollar,12,Advertising,2009,Cents per Domestic Real Food Dollar,2,0.1,2.1
1,Food dollar,13,Legal and accounting,2009,Cents per Domestic Real Food Dollar,1.5,0,1.5
1,Food dollar,14,Total food dollar,2009,Cents per Domestic Real Food Dollar,,,112.7
1,Food dollar,15,Domestic food dollar,2009,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2009,Cents per Domestic Real Food Dollar,,,18.9
1,Food dollar,1,Total,2010,Cents per Domestic Real Food Dollar,93.9,6,100
1,Food dollar,2,Agribusiness,2010,Cents per Domestic Real Food Dollar,2.4,0.6,3
1,Food dollar,3,Farm production,2010,Cents per Domestic Real Food Dollar,8.6,0.9,9.6
1,Food dollar,4,Food processing,2010,Cents per Domestic Real Food Dollar,15,1.2,16.2
1,Food dollar,5,Packaging,2010,Cents per Domestic Real Food Dollar,2.1,0.9,3
1,Food dollar,6,Transportation,2010,Cents per Domestic Real Food Dollar,3.4,0,3.4
1,Food dollar,7,Wholesale trade,2010,Cents per Domestic Real Food Dollar,10.2,-0.1,10.1
1,Food dollar,8,Retail trade,2010,Cents per Domestic Real Food Dollar,13.8,0.3,14.1
1,Food dollar,9,Foodservices,2010,Cents per Domestic Real Food Dollar,27.6,0.4,28
1,Food dollar,10,Energy,2010,Cents per Domestic Real Food Dollar,4.1,1.4,5.5
1,Food dollar,11,Finance and insurance,2010,Cents per Domestic Real Food Dollar,2.7,0.2,2.9
1,Food dollar,12,Advertising,2010,Cents per Domestic Real Food Dollar,2.1,0.1,2.2
1,Food dollar,13,Legal and accounting,2010,Cents per Domestic Real Food Dollar,1.6,0,1.6
1,Food dollar,14,Total food dollar,2010,Cents per Domestic Real Food Dollar,,,113.6
1,Food dollar,15,Domestic food dollar,2010,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2010,Cents per Domestic Real Food Dollar,,,19
1,Food dollar,1,Total,2011,Cents per Domestic Real Food Dollar,93.6,6.4,100
1,Food dollar,2,Agribusiness,2011,Cents per Domestic Real Food Dollar,2.2,0.6,2.8
1,Food dollar,3,Farm production,2011,Cents per Domestic Real Food Dollar,8.9,1,9.9
1,Food dollar,4,Food processing,2011,Cents per Domestic Real Food Dollar,13.7,1.3,14.9
1,Food dollar,5,Packaging,2011,Cents per Domestic Real Food Dollar,2.1,0.9,3
1,Food dollar,6,Transportation,2011,Cents per Domestic Real Food Dollar,3.3,0.1,3.4
1,Food dollar,7,Wholesale trade,2011,Cents per Domestic Real Food Dollar,10.6,-0.1,10.6
1,Food dollar,8,Retail trade,2011,Cents per Domestic Real Food Dollar,13.9,0.3,14.2
1,Food dollar,9,Foodservices,2011,Cents per Domestic Real Food Dollar,28.1,0.4,28.5
1,Food dollar,10,Energy,2011,Cents per Domestic Real Food Dollar,4.2,1.7,5.9
1,Food dollar,11,Finance and insurance,2011,Cents per Domestic Real Food Dollar,2.7,0.1,2.8
1,Food dollar,12,Advertising,2011,Cents per Domestic Real Food Dollar,2.1,0.1,2.3
1,Food dollar,13,Legal and accounting,2011,Cents per Domestic Real Food Dollar,1.7,0,1.7
1,Food dollar,14,Total food dollar,2011,Cents per Domestic Real Food Dollar,,,114
1,Food dollar,15,Domestic food dollar,2011,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,2011,Cents per Domestic Real Food Dollar,,,18.7
1,Food dollar,1,Total,2012,Cents per Domestic Real Food Dollar,95.2,4.8,100
