source_desc,sector_desc,group_desc,commodity_desc,statisticcat_desc,short_desc,domain_desc,class_desc,state_name,year,month,month_id,freq_desc,unit_desc,nominal_price
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,FEB,2,MONTHLY,$ / BU,4.36
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,MAR,3,MONTHLY,$ / BU,4.36
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,APR,4,MONTHLY,$ / BU,4.39
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,MAY,5,MONTHLY,$ / BU,4.51
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,JUN,6,MONTHLY,$ / BU,4.48
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,JUL,7,MONTHLY,$ / BU,4.23
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,AUG,8,MONTHLY,$ / BU,3.84
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,SEP,9,MONTHLY,$ / BU,3.97
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,OCT,10,MONTHLY,$ / BU,3.99
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,NOV,11,MONTHLY,$ / BU,4.07
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,DEC,12,MONTHLY,$ / BU,4.23
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,MARKETING YEAR,0,ANNUAL,$ / BU,4.55
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,JAN,1,MONTHLY,$ / BU,6.63
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,FEB,2,MONTHLY,$ / BU,6.8
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,MAR,3,MONTHLY,$ / BU,6.67
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,APR,4,MONTHLY,$ / BU,6.7
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,MAY,5,MONTHLY,$ / BU,6.54
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,JUN,6,MONTHLY,$ / BU,6.49
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,JUL,7,MONTHLY,$ / BU,6.22
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,AUG,8,MONTHLY,$ / BU,5.73
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,SEP,9,MONTHLY,$ / BU,5.21
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,OCT,10,MONTHLY,$ / BU,4.93
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,NOV,11,MONTHLY,$ / BU,4.66
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2023,DEC,12,MONTHLY,$ / BU,4.8
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,MARKETING YEAR,0,ANNUAL,$ / BU,6.54
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,JAN,1,MONTHLY,$ / BU,5.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,FEB,2,MONTHLY,$ / BU,6.09
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,MAR,3,MONTHLY,$ / BU,6.56
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,APR,4,MONTHLY,$ / BU,7.07
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,MAY,5,MONTHLY,$ / BU,7.26
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,JUN,6,MONTHLY,$ / BU,7.38
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,JUL,7,MONTHLY,$ / BU,7.25
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,AUG,8,MONTHLY,$ / BU,7.24
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,SEP,9,MONTHLY,$ / BU,7.09
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,OCT,10,MONTHLY,$ / BU,6.49
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,NOV,11,MONTHLY,$ / BU,6.49
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2022,DEC,12,MONTHLY,$ / BU,6.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,MARKETING YEAR,0,ANNUAL,$ / BU,6.0
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,JAN,1,MONTHLY,$ / BU,4.24
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,FEB,2,MONTHLY,$ / BU,4.75
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,MAR,3,MONTHLY,$ / BU,4.89
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,APR,4,MONTHLY,$ / BU,5.31
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,MAY,5,MONTHLY,$ / BU,5.91
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,JUN,6,MONTHLY,$ / BU,6.0
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,JUL,7,MONTHLY,$ / BU,6.12
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,AUG,8,MONTHLY,$ / BU,6.32
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,SEP,9,MONTHLY,$ / BU,5.47
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,OCT,10,MONTHLY,$ / BU,5.02
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,NOV,11,MONTHLY,$ / BU,5.26
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2021,DEC,12,MONTHLY,$ / BU,5.47
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,MARKETING YEAR,0,ANNUAL,$ / BU,4.53
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,JAN,1,MONTHLY,$ / BU,3.79
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,FEB,2,MONTHLY,$ / BU,3.78
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,MAR,3,MONTHLY,$ / BU,3.68
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,APR,4,MONTHLY,$ / BU,3.29
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,MAY,5,MONTHLY,$ / BU,3.2
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,JUN,6,MONTHLY,$ / BU,3.16
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,JUL,7,MONTHLY,$ / BU,3.21
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,AUG,8,MONTHLY,$ / BU,3.12
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,SEP,9,MONTHLY,$ / BU,3.41
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,OCT,10,MONTHLY,$ / BU,3.61
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,NOV,11,MONTHLY,$ / BU,3.79
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2020,DEC,12,MONTHLY,$ / BU,3.97
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,MARKETING YEAR,0,ANNUAL,$ / BU,3.56
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,JAN,1,MONTHLY,$ / BU,3.56
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,FEB,2,MONTHLY,$ / BU,3.6
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,MAR,3,MONTHLY,$ / BU,3.61
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,APR,4,MONTHLY,$ / BU,3.53
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,MAY,5,MONTHLY,$ / BU,3.63
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,JUN,6,MONTHLY,$ / BU,3.98
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,JUL,7,MONTHLY,$ / BU,4.16
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,AUG,8,MONTHLY,$ / BU,3.93
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,SEP,9,MONTHLY,$ / BU,3.8
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,OCT,10,MONTHLY,$ / BU,3.85
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,NOV,11,MONTHLY,$ / BU,3.68
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2019,DEC,12,MONTHLY,$ / BU,3.71
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,MARKETING YEAR,0,ANNUAL,$ / BU,3.61
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,JAN,1,MONTHLY,$ / BU,3.29
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,FEB,2,MONTHLY,$ / BU,3.38
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,MAR,3,MONTHLY,$ / BU,3.51
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,APR,4,MONTHLY,$ / BU,3.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,MAY,5,MONTHLY,$ / BU,3.68
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,JUN,6,MONTHLY,$ / BU,3.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,JUL,7,MONTHLY,$ / BU,3.47
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,AUG,8,MONTHLY,$ / BU,3.36
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,SEP,9,MONTHLY,$ / BU,3.4
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,OCT,10,MONTHLY,$ / BU,3.42
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,NOV,11,MONTHLY,$ / BU,3.41
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2018,DEC,12,MONTHLY,$ / BU,3.54
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,MARKETING YEAR,0,ANNUAL,$ / BU,3.36
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,JAN,1,MONTHLY,$ / BU,3.4
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,FEB,2,MONTHLY,$ / BU,3.44
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,MAR,3,MONTHLY,$ / BU,3.49
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,APR,4,MONTHLY,$ / BU,3.43
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,MAY,5,MONTHLY,$ / BU,3.45
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,JUN,6,MONTHLY,$ / BU,3.43
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,JUL,7,MONTHLY,$ / BU,3.49
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,AUG,8,MONTHLY,$ / BU,3.27
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,SEP,9,MONTHLY,$ / BU,3.27
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,OCT,10,MONTHLY,$ / BU,3.26
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,NOV,11,MONTHLY,$ / BU,3.15
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2017,DEC,12,MONTHLY,$ / BU,3.23
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2016,MARKETING YEAR,0,ANNUAL,$ / BU,3.36
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2016,JAN,1,MONTHLY,$ / BU,3.66
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2016,FEB,2,MONTHLY,$ / BU,3.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2016,MAR,3,MONTHLY,$ / BU,3.56
