year,reference_period_desc,begin_code,freq_desc,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,statisticcat_desc,nominal_price
2014,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,153.0
2013,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,126.0
2012,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,123.0
2011,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,117.0
2010,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,97.7
2009,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,85.4
2008,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,94.5
2007,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,95.4
2006,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,92.3
2005,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,94.3
2004,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,90.2
2003,MARKETING YEAR,00,ANNUAL,$ / CWT,ANIMALS & PRODUCTS,"STEERS & HEIFERS, GE 500 LBS",CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",PRICE RECEIVED,84.2
